QQQ (INVESCO QQQ TRUST, SERIES 1),178.99,-0.04,
Jul 22 2018 @ 02:52 ET,Bid,178.98,Ask,178.99,Size,5x34,Vol,35907619,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 95.00 (QQQ1820G95),84.04,0.0,82.97,84.50,0,16,2018 Jul 20 95.00 (QQQ1820S95),0.01,0.0,0.0,0.01,0,215,
2018 Jul 20 95.00 (QQQ1820G95-3),84.95,0.0,82.97,84.50,0,16,2018 Jul 20 95.00 (QQQ1820S95-3),0.0,0.0,0.0,0.52,0,215,
2018 Jul 20 95.00 (QQQ1820G95-4),85.09,0.0,82.11,85.62,0,16,2018 Jul 20 95.00 (QQQ1820S95-4),0.05,0.0,0.0,0.52,0,215,
2018 Jul 20 95.00 (QQQ1820G95-8),0.0,0.0,82.09,85.80,0,16,2018 Jul 20 95.00 (QQQ1820S95-8),0.01,0.0,0.0,1.88,0,215,
2018 Jul 20 95.00 (QQQ1820G95-A),0.0,0.0,82.09,85.84,0,16,2018 Jul 20 95.00 (QQQ1820S95-A),0.02,0.0,0.0,0.0,0,215,
2018 Jul 20 95.00 (QQQ1820G95-B),0.0,0.0,81.50,86.44,0,16,2018 Jul 20 95.00 (QQQ1820S95-B),0.05,0.0,0.0,2.13,0,215,
2018 Jul 20 95.00 (QQQ1820G95-E),81.30,0.0,82.09,85.84,0,16,2018 Jul 20 95.00 (QQQ1820S95-E),0.01,0.0,0.0,10.00,0,215,
2018 Jul 20 95.00 (QQQ1820G95-I),83.44,0.0,82.97,84.50,0,16,2018 Jul 20 95.00 (QQQ1820S95-I),0.0,0.0,0.0,0.01,0,215,
2018 Jul 20 95.00 (QQQ1820G95-J),0.0,0.0,81.50,86.43,0,16,2018 Jul 20 95.00 (QQQ1820S95-J),0.0,0.0,0.0,0.52,0,215,
2018 Jul 20 95.00 (QQQ1820G95-K),0.0,0.0,81.50,86.44,0,16,2018 Jul 20 95.00 (QQQ1820S95-K),0.0,0.0,0.0,5.00,0,215,
2018 Jul 20 95.00 (QQQ1820G95-O),0.0,0.0,81.50,86.37,0,16,2018 Jul 20 95.00 (QQQ1820S95-O),0.05,0.0,0.0,0.31,0,215,
2018 Jul 20 95.00 (QQQ1820G95-OG),0.0,0.0,81.84,86.09,0,16,2018 Jul 20 95.00 (QQQ1820S95-OG),0.01,0.0,0.0,2.13,0,215,
2018 Jul 20 95.00 (QQQ1820G95-P),76.07,0.0,82.09,85.84,0,16,2018 Jul 20 95.00 (QQQ1820S95-P),0.09,0.0,0.0,0.0,0,215,
2018 Jul 20 95.00 (QQQ1820G95-S),84.04,0.0,81.96,85.72,0,16,2018 Jul 20 95.00 (QQQ1820S95-S),0.0,0.0,0.0,1.88,0,215,
2018 Jul 20 95.00 (QQQ1820G95-X),0.0,0.0,81.50,86.22,0,16,2018 Jul 20 95.00 (QQQ1820S95-X),0.07,0.0,0.0,0.51,0,215,
