USO (UNITED STATES OIL FUND),14.15,+0.02,
Jul 22 2018 @ 03:03 ET,Bid,14.14,Ask,14.15,Size,0x0,Vol,22809485,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 1.00 (USO1820G1),13.80,0.0,11.75,14.65,0,4,2018 Jul 20 1.00 (USO1820S1),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-3),0.0,0.0,11.75,14.65,0,4,2018 Jul 20 1.00 (USO1820S1-3),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 1.00 (USO1820G1-4),0.0,0.0,11.75,14.65,0,4,2018 Jul 20 1.00 (USO1820S1-4),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-8),0.0,0.0,11.50,14.90,0,4,2018 Jul 20 1.00 (USO1820S1-8),0.0,0.0,0.0,0.09,0,0,
2018 Jul 20 1.00 (USO1820G1-A),0.0,0.0,0.0,0.0,0,4,2018 Jul 20 1.00 (USO1820S1-A),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-B),0.0,0.0,11.75,14.65,0,4,2018 Jul 20 1.00 (USO1820S1-B),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-E),0.0,0.0,8.90,17.45,0,4,2018 Jul 20 1.00 (USO1820S1-E),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-I),0.0,0.0,11.75,14.65,0,4,2018 Jul 20 1.00 (USO1820S1-I),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-J),0.0,0.0,11.55,14.85,0,4,2018 Jul 20 1.00 (USO1820S1-J),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-K),0.0,0.0,10.70,15.50,0,4,2018 Jul 20 1.00 (USO1820S1-K),0.0,0.0,0.0,5.00,0,0,
2018 Jul 20 1.00 (USO1820G1-O),13.80,0.0,11.75,14.65,0,4,2018 Jul 20 1.00 (USO1820S1-O),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-OG),12.55,0.0,11.75,14.65,0,4,2018 Jul 20 1.00 (USO1820S1-OG),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-P),0.0,0.0,0.0,0.0,0,4,2018 Jul 20 1.00 (USO1820S1-P),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-S),0.0,0.0,11.55,14.85,0,4,2018 Jul 20 1.00 (USO1820S1-S),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-X),0.0,0.0,11.75,14.65,0,4,2018 Jul 20 1.00 (USO1820S1-X),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 1.00 (USO1820G1-Y),0.0,0.0,11.50,14.90,0,4,2018 Jul 20 1.00 (USO1820S1-Y),0.0,0.0,0.0,0.09,0,0,
2018 Jul 20 2.00 (USO1820G2),0.0,0.0,12.10,12.20,0,0,2018 Jul 20 2.00 (USO1820S2),0.0,0.0,0.0,0.09,0,0,
2018 Jul 20 2.00 (USO1820G2-3),0.0,0.0,12.05,12.20,0,0,2018 Jul 20 2.00 (USO1820S2-3),0.0,0.0,0.0,0.12,0,0,
