Date,Open,High,Low,Close,Volume
7-Aug-17,247.49,247.87,247.37,247.87,31995021
4-Aug-17,247.52,247.79,246.97,247.41,60191838
3-Aug-17,247.31,247.34,246.64,246.96,40855997
2-Aug-17,247.47,247.60,246.37,247.44,47211216
1-Aug-17,247.46,247.50,246.72,247.32,55050401
31-Jul-17,-,-,-,246.77,65838659
28-Jul-17,246.65,247.06,246.13,246.91,50088359
27-Jul-17,247.96,248.00,245.68,247.20,70766568
26-Jul-17,247.75,247.79,247.13,247.43,47575422
25-Jul-17,247.68,247.80,247.16,247.42,54915591
24-Jul-17,246.79,246.98,246.28,246.82,46622256
21-Jul-17,246.44,246.91,246.18,246.88,88711019
20-Jul-17,247.28,247.42,246.47,247.10,47135183
19-Jul-17,246.02,247.00,246.01,246.99,51034260
18-Jul-17,245.06,245.72,244.67,245.66,42742498
17-Jul-17,245.47,245.91,245.33,245.53,33531917
14-Jul-17,244.43,245.97,244.31,245.56,60262692
13-Jul-17,244.02,244.55,243.76,244.42,39471637
12-Jul-17,243.30,244.20,243.30,244.01,59610405
11-Jul-17,242.16,242.55,240.85,242.19,50354614
10-Jul-17,241.95,242.80,241.76,242.37,36663274
7-Jul-17,241.21,242.28,240.56,242.11,57972268
6-Jul-17,241.89,242.03,240.34,240.55,66115317
5-Jul-17,242.63,243.01,241.70,242.77,54427596
3-Jul-17,242.88,243.38,242.21,242.21,39153806
30-Jun-17,242.28,242.71,241.58,241.80,86820694
29-Jun-17,243.66,243.72,239.96,241.35,106949719
28-Jun-17,242.50,243.72,242.23,243.49,70042599
27-Jun-17,243.04,243.38,241.31,241.33,82247666
26-Jun-17,243.90,244.38,243.04,243.29,56700477
23-Jun-17,242.91,243.51,242.47,243.13,66986801
22-Jun-17,242.96,243.53,242.64,242.84,44148059
21-Jun-17,243.42,243.59,242.41,242.95,55977569
20-Jun-17,244.25,244.26,242.99,243.01,56906368
19-Jun-17,243.59,244.73,243.48,244.66,65123802
16-Jun-17,242.77,242.83,241.63,242.64,84553097
15-Jun-17,242.68,243.91,242.36,243.77,66464888
14-Jun-17,244.86,244.87,243.29,244.24,78602311
13-Jun-17,243.98,244.61,243.58,244.55,60066953
12-Jun-17,243.13,243.42,242.38,243.36,86108102
9-Jun-17,244.09,245.01,241.95,243.41,132256362
8-Jun-17,243.77,244.33,243.17,243.78,65950691
7-Jun-17,243.60,243.92,242.83,243.66,54144311
6-Jun-17,243.34,243.98,243.12,243.21,50375430
5-Jun-17,243.97,244.30,243.76,243.99,44698825
2-Jun-17,243.42,244.35,243.08,244.17,88666128
1-Jun-17,241.97,243.38,241.64,243.36,68962024
31-May-17,241.84,241.88,240.64,241.44,91796016
30-May-17,241.34,241.79,241.16,241.50,35201897
26-May-17,241.54,241.90,241.45,241.71,46629905
25-May-17,241.20,242.08,240.96,241.76,64071661
24-May-17,240.32,240.73,239.93,240.61,49181099
23-May-17,239.95,240.24,239.51,240.05,48341683
22-May-17,238.90,239.71,238.82,239.52,61010602
19-May-17,237.33,239.08,237.27,238.31,115011373
18-May-17,235.73,237.75,235.43,236.77,107047656
17-May-17,238.10,238.64,235.75,235.82,172174107
16-May-17,240.64,240.67,239.63,240.08,51241791
15-May-17,239.47,240.44,239.45,240.30,61918937
12-May-17,239.09,239.43,238.67,238.98,53912730
11-May-17,239.35,239.57,238.13,239.38,62358346
10-May-17,239.39,239.87,239.15,239.87,54293799
9-May-17,239.96,240.19,239.04,239.44,51363200
8-May-17,239.75,239.92,239.17,239.66,48385730
5-May-17,239.19,239.72,238.68,239.70,62001269
4-May-17,238.83,238.92,237.78,238.76,61462732
3-May-17,238.29,238.88,237.70,238.48,73137731
2-May-17,238.84,238.98,238.30,238.77,57375732
1-May-17,238.68,239.17,238.20,238.68,66882521
28-Apr-17,238.90,238.93,237.93,238.08,63532845
27-Apr-17,238.77,238.95,237.98,238.60,57410326
26-Apr-17,238.51,239.53,238.35,238.40,84702455
25-Apr-17,237.91,238.95,237.81,238.55,76698265
24-Apr-17,237.18,237.41,234.56,237.17,119209877
21-Apr-17,235.25,235.31,234.13,234.59,110389847
20-Apr-17,234.15,235.84,233.78,235.34,92572186
19-Apr-17,234.52,234.95,233.18,233.44,68699868
18-Apr-17,233.72,234.49,233.08,233.87,83225821
17-Apr-17,233.11,234.57,232.88,234.57,68405367
13-Apr-17,233.64,234.49,232.51,232.51,92880394
12-Apr-17,234.74,234.96,233.77,234.03,81864436
11-Apr-17,234.90,235.18,233.34,235.06,88045276
10-Apr-17,235.36,236.26,234.73,235.34,67615302
7-Apr-17,235.15,236.00,234.64,235.20,74412311
6-Apr-17,234.94,236.04,234.42,235.44,69135757
5-Apr-17,236.26,237.39,234.54,234.78,108800604
4-Apr-17,234.95,235.58,234.56,235.48,56466195
3-Apr-17,235.80,236.03,233.91,235.33,85546486
31-Mar-17,235.90,236.51,235.68,235.74,73733094
30-Mar-17,235.47,236.52,235.27,236.29,56737890
29-Mar-17,234.99,235.81,234.72,235.54,61950354
28-Mar-17,233.27,235.81,233.14,235.32,93483915
27-Mar-17,231.93,233.92,231.61,233.62,87454452
24-Mar-17,234.38,235.04,232.96,233.86,112504853
23-Mar-17,234.00,235.34,233.60,234.03,100410277
22-Mar-17,233.77,234.61,233.05,234.28,97569204
21-Mar-17,237.47,237.61,233.58,233.73,131809275
20-Mar-17,237.03,237.36,236.32,236.77,52536979
17-Mar-17,237.75,237.97,237.03,237.03,89002111
16-Mar-17,239.11,239.20,238.10,238.48,78343951
15-Mar-17,237.56,239.44,237.29,238.95,96081750
14-Mar-17,237.18,237.24,236.19,236.90,59880778
13-Mar-17,237.62,237.86,237.24,237.81,57256824
10-Mar-17,237.97,238.02,236.59,237.69,81991652
9-Mar-17,236.70,237.24,235.74,236.86,90683918
8-Mar-17,237.34,237.64,236.40,236.56,78168795
7-Mar-17,237.36,237.77,236.76,237.00,65103737
6-Mar-17,237.50,238.12,237.01,237.71,55391533
3-Mar-17,238.17,238.61,237.73,238.42,81974300
2-Mar-17,239.56,239.57,238.21,238.27,70245978
1-Mar-17,238.39,240.32,238.37,239.78,149158170
28-Feb-17,236.67,236.95,236.02,236.47,96961938
27-Feb-17,236.64,237.31,236.35,237.11,56515440
24-Feb-17,235.46,236.79,235.41,236.74,82381612
23-Feb-17,236.88,236.90,235.56,236.44,74615902
22-Feb-17,236.02,236.54,235.83,236.28,62115185
21-Feb-17,235.52,236.69,235.51,236.49,88946051
17-Feb-17,233.95,235.09,233.93,235.09,77204104
16-Feb-17,234.95,235.16,233.85,234.72,84722437
15-Feb-17,233.45,235.14,233.39,234.92,86785826
14-Feb-17,232.56,233.71,232.16,233.70,71108983
13-Feb-17,232.08,233.07,232.05,232.77,55182050
10-Feb-17,231.00,231.77,230.62,231.51,66015892
9-Feb-17,229.56,230.95,229.52,230.60,65955245
8-Feb-17,228.61,229.39,228.31,229.24,51566218
7-Feb-17,229.38,229.66,228.72,228.94,57931151
6-Feb-17,228.87,229.33,228.54,228.93,57790108
3-Feb-17,228.82,229.55,228.46,229.34,80563168
2-Feb-17,227.20,228.10,226.82,227.77,69657560
1-Feb-17,228.26,228.59,226.94,227.62,79117651
31-Jan-17,226.98,227.60,226.32,227.53,75880805
30-Jan-17,228.17,228.20,226.41,227.55,79737252
27-Jan-17,229.42,229.59,228.76,228.97,59711118
26-Jan-17,229.40,229.71,229.01,229.33,59970719
25-Jan-17,228.70,229.57,228.51,229.57,84437712
24-Jan-17,226.40,228.08,226.27,227.60,95555295
23-Jan-17,226.35,226.80,225.27,226.15,75061645
20-Jan-17,226.70,227.31,225.97,226.74,129168623
